signal,choice,contrast
0.19489,1,3.3333
0.26871,1,2.2222
-0.17064,1,3.3333
-0.40215,1,5
0.93212,0,5
0.27105,1,3.3333
0.88473,1,3.3333
-0.15351,0,2.2222
0.15038,0,2.2222
0.65563,1,1.4815
1.0368,0,2.2222
0.098294,0,2.2222
0.10695,1,2.7778
0.93169,1,2.7778
0.018458,1,2.2222
-0.2731,1,2.2222
0.45198,1,1.7778
-0.89872,1,1.7778
0.18101,1,1.4222
0.39532,1,1.7778
-0.10194,1,1.7778
0.13548,1,2.2222
0.10883,1,2.2222
-0.016428,1,2.7778
0.08218,1,3.4722
-0.38167,1,3.4722
-0.76042,1,2.7778
0.49063,1,3.4722
-0.31657,0,3.4722
0.0080258,0,2.7778
-0.7198,0,2.7778
0.40743,1,2.2222
0.11674,1,2.7778
0.27935,1,2.7778
0.82612,0,2.2222
-0.42781,0,2.7778
0.16443,1,3.4722
-0.16458,0,3.4722
0.28427,1,2.7778
-0.19749,1,3.4722
0.46362,1,3.4722
-0.49886,0,2.7778
-0.31088,1,2.7778
0.6181,0,2.2222
-0.17838,0,2.2222
-0.5691,1,2.7778
-0.43661,0,3.4722
0.14635,0,3.4722
-0.46124,0,2.7778
0.79401,0,2.7778
0.68024,0,2.2222
-0.66084,1,2.2222
-0.74015,1,2.7778
-0.27778,0,2.7778
-0.37644,0,2.2222
0.10406,1,2.7778
-1.0481,0,3.4722
0.72643,0,3.4722
0.73744,0,2.7778
0.50601,1,3.4722
0.27458,0,3.4722
-0.15297,1,4.3403
0.72804,0,4.3403
-1.3154,0,3.4722
-0.24761,1,3.4722
0.076945,0,2.7778
-0.040491,0,2.7778
0.018608,0,2.2222
0.27621,0,2.7778
0.00039359,1,3.4722
1.0022,1,3.4722
-0.61144,0,4.3403
0.29681,0,4.3403
0.13169,1,5.4253
0.17178,1,5.4253
-0.0046763,1,4.3403
-0.056895,1,4.3403
0.1404,1,3.4722
1.1275,1,10
0.12386,0,10
-0.58373,0,5
0.61891,1,5
1.3347,1,2.5
1.0318,1,2.5
0.4024,1,5
0.096722,1,5
0.82374,1,2.5
1.266,1,2.5
-0.25606,1,1.25
0.29614,1,1.25
-0.38665,1,2.5
-0.98498,1,2.5
0.17634,1,1.25
-0.057856,0,2.5
-0.30917,1,2.5
-0.01929,1,1.6667
0.045785,1,2.5
-0.42567,1,2.5
-0.21506,1,1.6667
-0.63177,1,2.5
-0.53967,1,2.5
-1.0068,0,1.6667
0.52895,0,1.6667
-0.11076,1,1.1111
-0.21357,1,1.6667
-0.5557,1,2.5
0.68393,1,2.5
-0.38453,1,2
-0.24809,1,2
0.20482,1,1.6
-0.03835,0,2
0.70121,0,2
0.31258,0,1.6
-0.74352,1,2
0.15753,0,2
0.33668,1,2.5
0.068433,0,2.5
-0.56352,0,3.125
-0.50277,0,3.125
-0.36996,0,2.5
0.30507,0,3.125
0.27267,0,3.125
-0.10872,0,3.9062
0.086972,0,4.8828
-0.12835,1,6.1035
-0.55815,0,6.1035
0.38885,0,4.8828
-1.189,1,4.8828
-1.3501,0,3.9062
0.86282,1,3.9062
0.14985,0,3.125
-0.15626,0,3.9062
-0.14616,1,3.9062
0.45073,0,3.125
0.51035,0,3.125
0.65711,0,2.5
-0.61136,0,2.5
-0.80967,0,2
0.45308,0,2
-0.24714,0,1.6
0.14419,0,1.6
-0.50205,0,2
-0.16936,0,2
-0.87488,0,1.6
0.29212,0,1.6
-0.068053,0,1.28
-0.73257,0,1.28
-0.28428,0,1.024
0.01309,0,1.024
-0.51583,0,0.8192
0.078286,0,0.8192
0.35029,0,0.65536
-0.4326,0,0.65536
0.019224,0,0.52429
0.097238,0,0.52429
-0.37538,0,0.41943
-0.24648,0,0.52429
0.32383,0,0.65536
0.60999,1,0.65536
-0.97275,1,0.52429
0.3138,0,0.65536
0.039254,1,0.65536
-0.61336,1,0.8192
0.48133,0,1.024
0.96834,1,1.024
0.49632,1,0.8192
-0.28559,1,1.024
1.0038,1,1.024
0.0623,0,0.8192
-0.2892,1,1.024
0.72135,1,1.024
0.24634,1,1.28
0.26534,1,1.6
-0.41988,0,1.6
0.25116,1,1.28
0.13873,1,1.28
-0.088623,1,1.6
0.040658,1,2
0.29551,1,10
-1.1404,0,10
-0.096217,1,5
-0.0032158,0,5
-0.23086,1,2.5
-0.16488,0,5
0.15078,1,5
0.25395,0,2.5
0.57501,1,5
0.42841,0,5
-0.17082,0,2.5
-0.87189,0,2.5
-0.17186,0,1.25
0.29191,0,2.5
-0.41226,0,2.5
-0.28865,0,3.75
0.14926,0,3.75
-0.70928,0,2.5
-0.32764,1,3.75
-0.30361,1,3.75
-0.13797,1,2.5
-0.039594,0,2.5
-0.12419,1,1.6667
-0.42613,1,2.5
-0.11097,1,2.5
0.55367,1,2
0.12535,1,2
0.40623,1,2.5
0.25703,1,2.5
-1.0291,1,2
0.10561,1,2.5
-0.0099798,1,3.125
0.044065,1,3.125
-0.51906,1,3.9062
-0.76224,0,3.9062
0.53022,0,3.125
-0.27996,0,3.9062
0.03767,0,3.9062
-0.49835,0,3.125
0.40424,1,3.9062
0.3071,1,3.9062
0.15512,0,3.125
-0.75843,0,3.125
0.20219,0,3.9062
0.016954,0,3.9062
-0.26111,0,3.125
0.3809,0,3.125
-0.052615,0,3.9062
